country_name,x,y
United States Virgin Islands,-64.79016015,17.95907915
Vietnam,106.301296,16.6416056
Vanuatu,167.7010584,-16.20143716
West Bank,35.24495572,31.94538544
Wallis and Futuna,-177.229019,-13.84713151
Akrotiri Sovereign Base Area,32.93405343,34.63167935
Samoa,-172.1602778,-13.75467624
Yemen,47.59093062,15.90515459
South Africa,25.08773292,-29.00105188
Zambia,27.77421234,-13.46011002
Zimbabwe,29.85188462,-19.00253671
